TableName,TableType,DataLength,MaxDataLength,IndexLength,Free,CreateDate
innodb_index_stats,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
innodb_table_stats,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
ndb_binlog_index,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
password_history,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
plugin,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
procs_priv,BASE TABLE,16384,0,16384,4194304,2018/5/25 15:48
proxies_priv,BASE TABLE,16384,0,16384,4194304,2018/5/25 15:48
role_edges,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
server_cost,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
servers,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
slave_master_info,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
slave_relay_log_info,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
slave_worker_info,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
slow_log,BASE TABLE,0,0,0,0,2018/5/25 15:48
tables_priv,BASE TABLE,16384,0,16384,4194304,2018/5/25 15:48
time_zone,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
time_zone_leap_second,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
time_zone_name,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
time_zone_transition,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
time_zone_transition_type,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
user,BASE TABLE,16384,0,0,4194304,2018/5/25 15:48
accounts,BASE TABLE,0,0,0,0,2018/5/25 15:45
cond_instances,BASE TABLE,0,0,0,0,2018/5/25 15:45
data_lock_waits,BASE TABLE,0,0,0,0,2018/5/25 15:45
data_locks,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_errors_summary_by_account_by_error,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_errors_summary_by_host_by_error,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_errors_summary_by_thread_by_error,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_errors_summary_by_user_by_error,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_errors_summary_global_by_error,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_stages_current,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_stages_history,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_stages_history_long,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_stages_summary_by_account_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_stages_summary_by_host_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_stages_summary_by_thread_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_stages_summary_by_user_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_stages_summary_global_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_current,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_histogram_by_digest,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_histogram_global,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_history,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_history_long,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_summary_by_account_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_summary_by_digest,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_summary_by_host_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_summary_by_program,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_summary_by_thread_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_summary_by_user_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_statements_summary_global_by_event_name,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_transactions_current,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_transactions_history,BASE TABLE,0,0,0,0,2018/5/25 15:45
events_transactions_history_long,BASE TABLE,0,0,0,0,2018/5/25 15:45
